観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),気温,今日の最高気温の品質情報,今日の最高気温起時（時）,今日の最高気温起時（分）,今日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（昨日まで）,今年の最高気温（昨日まで）の品質情報,今年の最高気温（昨日まで）を観測した起日（年）,今年の最高気温（昨日まで）を観測した起日（月）,今年の最高気温（昨日まで）を観測した起日（日）,昨日までの観測史上1位の値（℃）,昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値を観測した起日（年）,昨日までの観測史上1位の値を観測した起日（月）,昨日までの観測史上1位の値を観測した起日（日）,昨日までの7月の1位の値,昨日までの7月の1位の値の品質情報,昨日までの7月の1位の値の起日（年）,昨日までの7月の1位の値の起日（月）,昨日までの7月の1位の値の起日（日）,統計開始年,lat,lon,観測所,時間
36476,福島県,郡山（コオリヤマ）,,2023,07,28,15,00,35.8,4,14,00,4,+6.1,+2.1,88,0,,,1,34.9,4,2023,07,07,36.2,8,2022,08,01,36.0,8,2018,07,02,1976,37.36833333333333,140.33,郡山,14時00分
36501,福島県,川内（カワウチ）,,2023,07,28,15,00,35.1,4,11,31,4,+6.8,+1.3,88,0,,,1,34.9,4,2023,07,07,36.5,8,2020,08,11,35.7,8,2018,07,20,1976,37.336666666666666,140.80833333333334,川内,11時31分
36581,福島県,玉川（タマカワ）,,2023,07,28,15,00,34.5,4,14,06,4,+6.1,+1.0,88,0,,,1,33.7,4,2023,07,25,35.5,8,2014,08,06,35.0,8,2022,07,02,2003,37.22666666666667,140.42666666666668,玉川,14時06分
36591,福島県,小野新町（オノニイマチ）,,2023,07,28,15,00,35.7,4,13,52,4,+6.6,+0.9,88,0,,,1,35.2,4,2023,07,25,36.0,8,2020,08,11,35.8,8,2015,07,14,1976,37.28666666666667,140.625,小野新町,13時52分
36641,福島県,田島（タジマ）,,2023,07,28,15,00,33.1,4,13,15,4,+4.2,+0.8,88,0,,,1,33.1,4,2023,07,07,35.0,8,2018,07,20,35.0,8,2018,07,20,1976,37.20666666666666,139.795,田島,13時15分
36667,福島県,白河（シラカワ）,47597,2023,07,28,15,00,34.8,4,13,32,4,+5.7,+2.1,88,0,,,1,34.5,4,2023,07,16,36.0,8,2012,07,17,36.0,8,2012,07,17,1940,37.13166666666667,140.215,白河,13時32分
36676,福島県,石川（イシカワ）,,2023,07,28,15,00,37.0,4,14,13,4,+6.6,+1.9,88,0,,,1,36.2,4,2023,07,25,37.7,8,2019,08,07,37.5,8,2022,07,02,1976,37.14666666666667,140.46,石川,14時13分
42046,群馬県,藤原（フジワラ）,,2023,07,28,15,00,33.2,4,13,03,4,+5.5,+1.4,88,0,,,1,32.8,4,2023,07,25,35.0,8,1994,08,15,34.1,8,2022,07,02,1977,36.86333333333333,139.05833333333334,藤原,13時03分
44207,東京都,新島（ニイジマ）,,2023,07,28,15,00,32.4,4,13,02,4,+3.4,+1.3,88,0,,,1,31.5,4,2023,07,19,34.2,8,2018,07,23,34.2,8,2018,07,23,2003,34.36833333333333,139.26833333333337,新島,13時02分
44216,東京都,神津島（コウヅシマ）,,2023,07,28,15,00,30.7,4,13,47,4,+2.7,+0.4,88,0,,,1,30.3,4,2023,07,27,33.7,8,2018,07,23,33.7,8,2018,07,23,2003,34.18833333333333,139.13333333333333,神津島,13時47分
44263,東京都,八丈島（ハチジョウジマ）,47678,2023,07,28,15,00,31.0,4,13,54,4,+2.0,+0.8,88,0,,,1,31.0,4,2023,07,26,34.8,8,1942,08,02,34.2,8,1942,07,30,1906,33.12166666666667,139.77833333333334,八丈島,13時54分
48031,長野県,野沢温泉（ノザワオンセン）,,2023,07,28,15,00,32.2,4,14,16,4,+2.9,+1.1,88,0,,,1,31.8,4,2023,07,07,36.4,8,1994,08,13,34.6,8,1999,07,30,1978,36.91166666666667,138.44166666666666,野沢温泉,14時16分
48141,長野県,白馬（ハクバ）,,2023,07,28,15,00,34.0,4,13,50,4,+5.2,+1.3,88,0,,,1,32.9,4,2023,07,25,36.2,8,1994,08,16,34.6,8,2022,07,02,1978,36.69833333333333,137.86166666666668,白馬,13時50分
48191,長野県,大町（オオマチ）,,2023,07,28,15,00,33.9,4,13,53,4,+5.0,+0.9,88,0,,,1,33.6,4,2023,07,25,35.5,8,2018,08,05,34.9,8,2018,07,20,1978,36.52333333333333,137.83166666666668,大町,13時53分
48296,長野県,穂高（ホタカ）,,2023,07,28,15,00,35.5,4,14,17,4,+4.2,+0.4,88,0,,,1,35.3,4,2023,07,25,37.8,8,2013,07,12,37.8,8,2013,07,12,1978,36.34333333333333,137.88166666666666,穂高,14時17分
50551,静岡県,御前崎（オマエザキ）,47655,2023,07,28,15,00,31.9,4,12,34,4,+2.6,+0.1,88,0,,,1,31.8,4,2023,07,27,36.7,8,2004,07,20,36.7,8,2004,07,20,1932,34.60333333333333,138.21333333333334,御前崎,12時34分
52051,岐阜県,神岡（カミオカ）,,2023,07,28,15,00,34.4,4,13,51,4,+3.7,+0.3,88,0,,,1,34.1,4,2023,07,27,37.3,8,2018,08,05,36.8,8,2018,07,15,1978,36.321666666666665,137.30833333333334,神岡,13時51分
52111,岐阜県,栃尾（トチオ）,,2023,07,28,15,00,33.6,4,13,56,4,+4.3,0.0,88,0,,,1,33.6,4,2023,07,27,35.4,8,1994,08,15,35.2,8,2018,07,19,1978,36.248333333333335,137.50333333333333,栃尾,13時56分
52146,岐阜県,高山（タカヤマ）,47617,2023,07,28,15,00,36.2,4,14,40,4,+5.0,+0.4,88,0,,,1,35.8,4,2023,07,27,37.7,8,2019,08,13,37.1,8,2018,07,19,1899,36.155,137.25333333333333,高山,14時40分
52196,岐阜県,宮之前（ミヤノマエ）,,2023,07,28,15,00,32.8,4,13,56,4,+4.9,+0.2,88,0,,,1,32.6,4,2023,07,27,33.5,8,2018,08,04,33.1,8,2018,07,19,1978,36.015,137.38833333333332,宮之前,13時56分
54387,新潟県,寺泊（テラドマリ）,,2023,07,28,15,00,34.1,4,14,22,4,+4.0,+0.8,88,0,,,1,33.9,4,2023,07,07,40.6,8,2019,08,15,39.4,8,2018,07,29,2001,37.64,138.76666666666668,寺泊,14時22分
54421,新潟県,津川（ツガワ）,,2023,07,28,15,00,34.1,4,13,59,4,+3.5,+0.7,88,0,,,1,33.5,4,2023,07,25,39.4,8,1994,08,13,36.8,8,2018,07,30,1978,37.67166666666667,139.44666666666666,津川,13時59分
55141,富山県,砺波（トナミ）,,2023,07,28,15,00,35.4,4,14,05,4,+4.8,+1.2,88,0,,,1,34.7,4,2023,07,26,37.4,8,2020,08,11,36.2,8,2015,07,13,1976,36.61,136.955,砺波,14時05分
55191,富山県,南砺高宮（ナントタカミヤ）,,2023,07,28,15,00,34.9,4,13,01,4,+4.2,+1.4,88,0,,,1,34.7,4,2023,07,15,37.3,8,2018,08,22,36.0,8,2017,07,11,1978,36.545,136.87166666666667,南砺高宮,13時01分
55206,富山県,八尾（ヤツオ）,,2023,07,28,15,00,35.5,4,13,46,4,+3.9,+1.4,88,0,,,1,34.9,4,2023,07,16,38.5,8,1994,08,14,37.3,8,1995,07,24,1976,36.57,137.15833333333333,八尾,13時46分
57066,福井県,福井（フクイ）,47616,2023,07,28,15,00,36.6,4,12,54,4,+4.4,+1.1,88,0,,,1,36.3,4,2023,07,16,38.6,8,1942,07,19,38.6,8,1942,07,19,1897,36.055,136.22166666666666,福井,12時54分
57082,福井県,勝山（カツヤマ）,,2023,07,28,15,00,35.0,4,12,55,4,+4.1,+1.1,88,0,,,1,34.5,4,2023,07,24,37.4,8,2022,08,01,36.7,8,2012,07,31,1993,36.03833333333333,136.52166666666668,勝山,12時55分
57121,福井県,大野（オオノ）,,2023,07,28,15,00,35.5,4,13,42,4,+4.5,+0.8,88,0,,,1,34.7,4,2023,07,27,36.9,8,2012,07,31,36.9,8,2012,07,31,1976,35.971666666666664,136.49666666666667,大野,13時42分
57206,福井県,今庄（イマジョウ）,,2023,07,28,15,00,35.5,4,15,00,4,+4.4,+0.4,88,0,,,1,35.1,4,2023,07,27,36.9,8,2018,08,14,36.8,8,2012,07,31,1978,35.766666666666666,136.2,今庄,15時00分
60102,滋賀県,米原（マイバラ）,,2023,07,28,15,00,36.1,4,14,43,4,+5.6,0.0,88,0,,,1,36.1,4,2023,07,27,36.2,8,2018,07,22,36.2,8,2018,07,22,2001,35.38333333333333,136.34333333333333,米原,14時43分
61111,京都府,舞鶴（マイヅル）,47750,2023,07,28,15,00,36.4,4,12,39,4,+3.8,+0.7,88,0,,,1,36.4,4,2023,07,16,38.8,8,2018,07,22,38.8,8,2018,07,22,1947,35.45,135.31666666666666,舞鶴,12時39分
61187,京都府,福知山（フクチヤマ）,,2023,07,28,15,00,38.4,4,14,30,4,+5.4,+0.5,88,0,,,1,37.9,4,2023,07,27,39.6,8,2018,08,22,38.8,8,2018,07,15,1976,35.31166666666667,135.11333333333334,福知山,14時30分
62081,大阪府,生駒山（イコマヤマ）,,2023,07,28,15,00,33.3,4,14,40,4,+4.8,+0.2,88,0,,,1,33.1,4,2023,07,27,34.3,8,1994,08,06,33.4,8,2018,07,19,1976,34.675,135.67666666666668,生駒山,14時40分
62091,大阪府,堺（サカイ）,,2023,07,28,15,00,37.7,4,13,03,4,+4.1,+0.8,88,0,,,1,36.9,4,2023,07,27,39.7,8,2018,08,22,38.3,8,2022,07,01,1977,34.555,135.485,堺,13時03分
62101,大阪府,関空島（カンクウジマ）,,2023,07,28,15,00,33.6,4,14,59,4,+1.6,+2.0,88,0,,,1,33.3,4,2023,07,16,36.9,8,2018,08,22,36.7,8,2014,07,25,2003,34.43333333333333,135.23166666666663,関空島,14時59分
63121,兵庫県,和田山（ワダヤマ）,,2023,07,28,15,00,37.4,4,13,27,4,+5.2,0.0,88,0,,,1,37.4,4,2023,07,27,38.0,8,2020,08,20,37.8,8,2000,07,22,1977,35.32333333333333,134.84833333333333,和田山,13時27分
63251,兵庫県,一宮（イチノミヤ）,,2023,07,28,15,00,36.9,4,13,57,4,+5.1,+0.4,88,0,,,1,36.5,4,2023,07,27,38.5,8,2018,08,04,38.0,8,2018,07,23,1978,35.096666666666664,134.585,一宮,13時57分
63331,兵庫県,西脇（ニシワキ）,,2023,07,28,15,00,39.0,4,14,34,4,+6.4,+1.3,88,0,7,0,1,37.7,4,2023,07,27,39.2,8,2020,08,30,37.9,8,2022,07,01,1978,34.998333333333335,134.99666666666667,西脇,14時34分
66046,岡山県,上長田（カミナガタ）,,2023,07,28,15,00,33.2,4,12,30,4,+3.8,+0.6,88,0,,,1,32.6,4,2023,07,27,34.9,8,1994,08,07,34.5,8,2000,07,22,1978,35.29666666666667,133.725,上長田,12時30分
66091,岡山県,千屋（チヤ）,,2023,07,28,15,00,34.3,4,13,38,4,+5.3,+0.4,88,0,,,1,33.9,4,2023,07,27,34.9,8,2020,08,19,34.7,8,2022,07,01,1978,35.10333333333333,133.435,千屋,13時38分
66127,岡山県,奈義（ナギ）,,2023,07,28,15,00,35.9,4,14,44,4,+4.5,+0.5,88,0,,,1,35.4,4,2023,07,27,37.2,8,1994,08,06,36.2,8,2022,07,01,1977,35.111666666666665,134.17,奈義,14時44分
66136,岡山県,今岡（イマオカ）,,2023,07,28,15,00,36.0,4,14,06,4,+4.4,+0.1,88,0,,,1,35.9,4,2023,07,27,38.5,8,1994,08,07,36.8,8,1994,07,15,1978,35.098333333333336,134.325,今岡,14時06分
66171,岡山県,久世（クセ）,,2023,07,28,15,00,37.7,4,15,00,4,+4.8,+0.3,88,0,,,1,37.4,4,2023,07,27,39.3,8,1994,08,07,37.8,8,2001,07,04,1978,35.068333333333335,133.75333333333333,久世,15時00分
66296,岡山県,福渡（フクワタリ）,,2023,07,28,15,00,37.2,4,14,49,4,+4.5,0.0,88,0,,,1,37.2,4,2023,07,27,39.0,8,1994,07,16,39.0,8,1994,07,16,1979,34.86666666666667,133.90333333333334,福渡,14時49分
66336,岡山県,高梁（タカハシ）,,2023,07,28,15,00,38.6,4,14,13,4,+5.3,+0.9,88,0,,,1,37.7,4,2023,07,27,39.3,8,2020,08,21,38.9,8,1994,07,17,1979,34.791666666666664,133.61,高梁,14時13分
66346,岡山県,日応寺（ニチオウジ）,,2023,07,28,15,00,35.6,4,14,30,4,+4.3,+0.1,88,0,,,1,35.5,4,2023,07,27,37.0,8,2018,07,24,37.0,8,2018,07,24,2003,34.75666666666667,133.855,日応寺,14時30分
66408,岡山県,岡山（オカヤマ）,47768,2023,07,28,15,00,37.2,4,14,52,4,+3.8,0.0,88,0,,,1,37.2,4,2023,07,27,39.3,8,1994,08,07,38.1,8,2018,07,24,1891,34.685,133.925,岡山,14時52分
67116,広島県,庄原（ショウバラ）,,2023,07,28,15,00,35.7,4,13,23,4,+4.4,+0.3,88,0,,,1,35.4,4,2023,07,27,38.1,8,2021,08,05,37.1,8,2004,07,30,1976,34.86,133.02333333333334,庄原,13時23分
67212,広島県,加計（カケ）,,2023,07,28,15,00,37.7,4,14,16,4,+5.4,+1.1,88,0,,,1,36.6,4,2023,07,27,38.8,8,2018,08,05,38.6,8,2018,07,25,1978,34.61,132.32,加計,14時16分
67292,広島県,三入（ミイリ）,,2023,07,28,15,00,36.6,4,14,59,4,+4.0,+0.1,88,0,,,1,36.5,4,2023,07,27,38.9,8,1994,07,16,38.9,8,1994,07,16,1979,34.545,132.53,三入,14時59分
67316,広島県,世羅（セラ）,,2023,07,28,15,00,36.3,4,14,20,4,+5.3,+0.4,88,0,7,0,1,35.9,4,2023,07,27,37.4,8,1994,08,07,35.9,8,2023,07,27,1977,34.583333333333336,133.05,世羅,14時20分
67376,広島県,東広島（ヒガシヒロシマ）,,2023,07,28,15,00,35.6,4,14,45,4,+4.1,0.0,88,0,,,1,35.6,4,2023,07,27,37.0,8,1994,07,17,37.0,8,1994,07,17,1979,34.416666666666664,132.7,東広島,14時45分
67421,広島県,廿日市津田（ハツカイチツタ）,,2023,07,28,15,00,35.4,4,14,16,4,+4.5,+0.1,88,0,,,1,35.3,4,2023,07,27,37.4,8,1994,07,16,37.4,8,1994,07,16,1978,34.365,132.19,廿日市津田,14時16分
68046,島根県,西郷岬（サイゴウミサキ）,,2023,07,28,15,00,31.9,4,10,43,4,+3.1,+0.1,88,0,,,1,31.9,4,2023,07,26,35.3,8,2018,08,13,33.7,8,2018,07,24,2003,36.178333333333335,133.32333333333332,西郷岬,10時43分
68056,島根県,海士（アマ）,,2023,07,28,15,00,35.2,4,13,02,4,+5.2,+1.6,88,0,,,1,34.0,4,2023,07,24,35.9,8,2022,08,01,35.4,8,2014,07,31,1978,36.09666666666666,133.09666666666666,海士,13時02分
68121,島根県,斐川（ヒカワ）,,2023,07,28,15,00,35.6,4,12,35,4,+4.2,+0.7,88,0,,,1,35.1,4,2023,07,23,37.9,8,2018,08,22,36.3,8,2022,07,29,2003,35.413333333333334,132.89,斐川,12時35分
68132,島根県,松江（マツエ）,47741,2023,07,28,15,00,36.3,4,12,55,4,+4.7,+0.8,88,0,,,1,36.0,4,2023,07,16,38.5,8,1994,08,01,37.1,8,2018,07,20,1940,35.45666666666666,133.065,松江,12時55分
68261,島根県,掛合（カケヤ）,,2023,07,28,15,00,35.3,4,13,42,4,+4.1,+1.6,88,0,,,1,34.6,4,2023,07,17,37.2,8,2021,08,06,37.1,8,2018,07,20,1978,35.196666666666665,132.815,掛合,13時42分
68276,島根県,横田（ヨコタ）,,2023,07,28,15,00,35.5,4,13,19,4,+4.9,+1.0,88,0,,,1,35.3,4,2023,07,17,36.3,8,2010,08,19,35.6,8,2022,07,02,1978,35.17333333333333,133.10333333333332,横田,13時19分
68306,島根県,赤名（アカナ）,,2023,07,28,15,00,34.9,4,13,58,4,+5.5,+0.4,88,0,,,1,34.5,4,2023,07,27,35.1,8,2018,07,16,35.1,8,2018,07,16,1978,35.001666666666665,132.71166666666667,赤名,13時58分
68351,島根県,川本（カワモト）,,2023,07,28,15,00,36.3,4,14,33,4,+4.6,+0.6,88,0,,,1,35.7,4,2023,07,27,37.9,8,2021,08,06,36.8,8,2018,07,20,1978,34.97666666666667,132.49166666666667,川本,14時33分
68516,島根県,津和野（ツワノ）,,2023,07,28,15,00,37.6,4,12,04,4,+5.1,+1.0,88,0,,,1,36.6,4,2023,07,27,38.2,8,2018,08,14,37.9,8,2018,07,20,1978,34.461666666666666,131.77,津和野,12時04分
68541,島根県,吉賀（ヨシカ）,,2023,07,28,15,00,36.1,4,14,46,4,+5.0,+0.7,88,0,7,0,1,35.4,4,2023,07,27,36.8,8,2020,08,19,36.0,8,2018,07,19,2006,34.391666666666666,131.89333333333337,吉賀,14時46分
69122,鳥取県,鳥取（トットリ）,47746,2023,07,28,15,00,36.6,4,14,31,4,+3.9,+1.3,88,0,,,1,36.6,4,2023,07,16,39.2,8,2021,08,06,39.1,8,1994,07,23,1943,35.486666666666665,134.23833333333334,鳥取,14時31分
69246,鳥取県,智頭（チズ）,,2023,07,28,15,00,36.5,4,13,36,4,+5.0,+1.8,88,0,,,1,35.6,4,2023,07,17,38.9,8,2018,08,05,38.2,8,2018,07,22,1978,35.263333333333335,134.24,智頭,13時36分
69271,鳥取県,茶屋（チャヤ）,,2023,07,28,15,00,33.6,4,13,48,4,+4.4,+1.6,88,0,,,1,32.4,4,2023,07,17,34.9,8,2020,08,19,33.9,8,2018,07,22,1978,35.18666666666667,133.23,茶屋,13時48分
72111,香川県,多度津（タドツ）,47890,2023,07,28,15,00,36.0,4,14,42,4,+3.4,+0.4,88,0,,,1,35.6,4,2023,07,27,38.5,8,1994,07,16,38.5,8,1994,07,16,1892,34.275,133.7516666666667,多度津,14時42分
73276,愛媛県,久万（クマ）,,2023,07,28,15,00,35.7,4,12,19,4,+5.0,+0.1,88,0,,,1,35.6,4,2023,07,27,36.5,8,2020,08,17,35.9,8,2022,07,01,1978,33.663333333333334,132.895,久万,12時19分
74188,高知県,南国日章（ナンコクニッショウ）,,2023,07,28,15,00,31.7,4,09,43,4,+1.0,+0.3,88,0,,,1,31.4,4,2023,07,27,38.3,8,2004,07,30,38.3,8,2004,07,30,2003,33.545,133.66833333333332,南国日章,09時43分
74271,高知県,安芸（アキ）,,2023,07,28,15,00,32.5,4,13,43,4,+1.7,+0.3,88,0,,,1,32.4,4,2023,07,25,36.5,8,2016,08,21,35.7,8,2004,07,21,1977,33.48833333333334,133.93333333333334,安芸,13時43分
74296,高知県,梼原（ユスハラ）,,2023,07,28,15,00,34.9,4,13,32,4,+4.4,+0.1,88,0,,,1,34.8,4,2023,07,27,38.7,8,2013,08,12,38.2,8,1994,07,16,1977,33.39,132.92166666666665,梼原,13時32分
74361,高知県,窪川（クボカワ）,,2023,07,28,15,00,36.0,4,11,16,4,+4.7,+1.0,88,0,,,1,35.0,4,2023,07,27,38.8,8,2013,08,11,38.0,8,2013,07,25,1977,33.20666666666666,133.12833333333333,窪川,11時16分
81231,山口県,広瀬（ヒロセ）,,2023,07,28,15,00,37.8,4,14,42,4,+5.4,+1.0,88,0,,,1,36.8,4,2023,07,27,38.3,8,1994,07,16,38.3,8,1994,07,16,1976,34.26166666666666,131.95166666666665,広瀬,14時42分
81436,山口県,宇部（ウベ）,,2023,07,28,15,00,31.6,4,14,29,4,+0.9,+0.1,88,0,,,1,31.5,4,2023,07,27,37.0,8,2016,08,20,35.2,8,2021,07,27,2001,33.93,131.27833333333334,宇部,14時29分
82056,福岡県,八幡（ヤハタ）,,2023,07,28,15,00,35.7,4,13,51,4,+3.6,+0.7,88,0,,,1,35.4,4,2023,07,17,36.9,8,1994,07,16,36.9,8,1994,07,16,1977,33.85166666666667,130.74333333333334,八幡,13時51分
83137,大分県,日田（ヒタ）,47814,2023,07,28,15,00,36.9,4,14,23,4,+3.0,0.0,88,0,,,1,36.9,4,2023,07,27,39.9,8,2018,08,13,39.3,8,1994,07,17,1942,33.321666666666665,130.92833333333334,日田,14時23分
83201,大分県,湯布院（ユフイン）,,2023,07,28,15,00,33.1,4,12,54,4,+2.9,+0.3,88,0,,,1,33.1,4,2023,07,17,35.9,8,2013,08,10,35.5,8,1994,07,17,1977,33.25333333333333,131.34666666666666,湯布院,12時54分
83341,大分県,犬飼（イヌカイ）,,2023,07,28,15,00,36.8,4,13,45,4,+4.0,+1.0,88,0,,,1,35.8,4,2023,07,27,39.0,8,2008,07,27,39.0,8,2008,07,27,1977,33.065,131.63166666666666,犬飼,13時45分
83431,大分県,宇目（ウメ）,,2023,07,28,15,00,35.9,4,13,17,4,+4.2,+1.0,88,0,,,1,34.9,4,2023,07,27,38.1,8,2013,08,10,37.3,8,2008,07,31,1977,32.845,131.675,宇目,13時17分
84519,長崎県,雲仙岳（ウンゼンダケ）,47818,2023,07,28,15,00,30.3,4,13,22,4,+2.9,+0.1,88,0,,,1,30.2,4,2023,07,27,33.2,8,2017,08,02,32.8,8,1994,07,16,1924,32.736666666666665,130.26166666666666,雲仙岳,13時22分
84561,長崎県,口之津（クチノツ）,,2023,07,28,15,00,35.8,4,12,47,4,+3.7,+0.1,88,0,,,1,35.8,4,2023,07,26,38.8,8,2009,08,07,37.0,8,1996,07,31,1976,32.611666666666665,130.19333333333333,口之津,12時47分
86066,熊本県,南小国（ミナミオグニ）,,2023,07,28,15,00,34.3,4,14,20,4,+3.4,+0.9,88,0,,,1,33.9,4,2023,07,17,36.5,8,2020,08,19,36.1,8,1994,07,16,1977,33.10333333333333,131.06666666666666,南小国,14時20分
86111,熊本県,阿蘇乙姫（アソオトヒメ）,,2023,07,28,15,00,32.8,4,15,00,4,+3.2,+0.3,88,0,,,1,32.5,4,2023,07,27,34.9,8,2016,08,11,34.0,8,2017,07,30,1978,32.946666666666665,131.04,阿蘇乙姫,15時00分
86161,熊本県,高森（タカモリ）,,2023,07,28,15,00,33.0,4,13,48,4,+3.4,0.0,88,0,,,1,33.0,4,2023,07,27,34.8,8,1994,08,06,34.4,8,1994,07,13,1977,32.821666666666665,131.125,高森,13時48分
86477,熊本県,上（ウエ）,,2023,07,28,15,00,36.0,4,14,22,4,+3.3,+0.1,88,0,,,1,35.9,4,2023,07,27,37.4,8,2020,08,17,36.9,8,2018,07,19,1977,32.225,130.905,上,14時22分
88107,鹿児島県,さつま柏原（サツマカシワバル）,,2023,07,28,15,00,36.0,4,14,47,4,+3.1,+0.7,88,0,,,1,35.4,4,2023,07,26,37.6,8,2020,08,18,37.2,8,1994,07,17,1976,31.916666666666668,130.455,さつま柏原,14時47分
88261,鹿児島県,東市来（ヒガシイチキ）,,2023,07,28,15,00,34.9,4,13,48,4,+3.5,+0.2,88,0,,,1,34.8,4,2023,07,26,36.3,8,2013,08,19,36.3,8,2012,07,30,1977,31.668333333333333,130.32833333333335,東市来,13時48分
88286,鹿児島県,牧之原（マキノハラ）,,2023,07,28,15,00,32.6,4,14,18,4,+2.6,+1.2,88,0,,,1,32.0,4,2023,07,17,35.1,8,2020,08,17,34.4,8,2007,07,27,1977,31.661666666666665,130.84333333333333,牧之原,14時18分
88432,鹿児島県,喜入（キイレ）,,2023,07,28,15,00,34.9,4,13,07,4,+1.7,+0.6,88,0,,,1,34.8,4,2023,07,18,37.4,8,2016,08,22,36.4,8,2007,07,26,1977,31.386666666666667,130.54,喜入,13時07分
