観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),気温,今日の最高気温の品質情報,今日の最高気温起時（時）,今日の最高気温起時（分）,今日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（昨日まで）,今年の最高気温（昨日まで）の品質情報,今年の最高気温（昨日まで）を観測した起日（年）,今年の最高気温（昨日まで）を観測した起日（月）,今年の最高気温（昨日まで）を観測した起日（日）,昨日までの観測史上1位の値（℃）,昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値を観測した起日（年）,昨日までの観測史上1位の値を観測した起日（月）,昨日までの観測史上1位の値を観測した起日（日）,昨日までの7月の1位の値,昨日までの7月の1位の値の品質情報,昨日までの7月の1位の値の起日（年）,昨日までの7月の1位の値の起日（月）,昨日までの7月の1位の値の起日（日）,統計開始年,lat,lon,観測所,時間
15311,北海道空知地方,月形（ツキガタ）,,2023,07,28,15,00,33.7,4,13,29,4,+7.8,+1.0,88,0,,,1,32.7,4,2023,07,27,36.3,8,2021,07,31,36.3,8,2021,07,31,1977,43.33,141.61666666666667,月形,13時29分
15321,北海道空知地方,美唄（ビバイ）,,2023,07,28,15,00,33.3,4,15,00,4,+6.5,+1.6,88,0,,,1,32.0,4,2023,07,26,35.6,8,2021,08,06,35.6,8,2021,07,31,1977,43.36333333333334,141.82666666666665,美唄,15時00分
15356,北海道空知地方,岩見沢（イワミザワ）,47413,2023,07,28,15,00,32.8,4,13,54,4,+6.3,+0.5,88,0,,,1,32.3,4,2023,07,27,35.5,8,2021,07,31,35.5,8,2021,07,31,1946,43.211666666666666,141.785,岩見沢,13時54分
15442,北海道空知地方,夕張（ユウバリ）,,2023,07,28,15,00,32.3,4,14,30,4,+7.3,+1.7,88,0,,,1,30.9,4,2023,07,26,35.0,8,2021,07,28,35.0,8,2021,07,28,1976,43.03833333333333,141.95666666666668,夕張,14時30分
16026,北海道後志地方,美国（ビクニ）,,2023,07,28,15,00,32.1,4,09,58,4,+6.5,+0.5,88,0,,,1,31.6,4,2023,07,27,34.1,8,2021,08,03,34.0,8,2018,07,29,1977,43.27166666666667,140.56333333333333,美国,09時58分
16076,北海道後志地方,余市（ヨイチ）,,2023,07,28,15,00,32.7,4,11,56,4,+6.3,+1.0,88,0,,,1,31.7,4,2023,07,27,34.9,8,1984,08,16,34.6,8,2000,07,31,1977,43.181666666666665,140.75833333333333,余市,11時56分
16156,北海道後志地方,共和（キョウワ）,,2023,07,28,15,00,30.6,4,12,18,4,+4.7,+1.2,88,0,,,1,30.5,4,2023,07,11,34.7,8,2021,08,07,34.7,8,2021,07,28,1977,42.98,140.60333333333332,共和,12時18分
16206,北海道後志地方,蘭越（ランコシ）,,2023,07,28,15,00,33.2,4,14,08,4,+7.1,+1.2,88,0,,,1,32.0,4,2023,07,27,34.4,8,2021,08,03,33.7,8,2000,07,31,1977,42.81,140.54166666666666,蘭越,14時08分
16217,北海道後志地方,倶知安（クッチャン）,47433,2023,07,28,15,00,32.1,4,13,06,4,+6.4,+0.8,88,0,,,1,31.3,4,2023,07,27,34.4,8,2021,08,06,34.1,8,2000,07,31,1944,42.9,140.75666666666666,倶知安,13時06分
17112,北海道網走・北見・紋別地方,紋別（モンベツ）,47435,2023,07,28,15,00,33.8,4,13,35,4,+11.3,+0.2,88,0,,,1,33.6,4,2023,07,27,37.0,8,2019,05,26,36.3,8,1978,07,13,1956,44.345,143.355,紋別,13時35分
17116,北海道網走・北見・紋別地方,紋別小向（モンベツコムカイ）,,2023,07,28,15,00,33.3,4,13,59,4,+10.3,+1.1,88,0,,,1,32.2,4,2023,07,27,37.2,8,2019,05,26,34.6,8,2004,07,24,2003,44.303333333333335,143.40333333333334,紋別小向,13時59分
17166,北海道網走・北見・紋別地方,湧別（ユウベツ）,,2023,07,28,15,00,33.8,4,10,55,4,+10.3,+0.6,88,0,,,1,33.2,4,2023,07,27,38.5,8,2019,05,26,34.9,8,1978,07,13,1977,44.21333333333333,143.61833333333334,湧別,10時55分
17246,北海道網走・北見・紋別地方,常呂（トコロ）,,2023,07,28,15,00,33.4,4,12,48,4,+9.3,+1.4,88,0,,,1,32.2,4,2023,07,26,36.9,8,1994,08,07,36.7,8,2021,07,28,1977,44.115,144.03666666666666,常呂,12時48分
17306,北海道網走・北見・紋別地方,遠軽（エンガル）,,2023,07,28,15,00,34.3,4,13,56,4,+8.6,+1.8,88,0,,,1,33.5,4,2023,07,26,37.7,8,2019,05,26,36.4,8,2000,07,31,1977,44.053333333333335,143.54,遠軽,13時56分
17316,北海道網走・北見・紋別地方,佐呂間（サロマ）,,2023,07,28,15,00,33.8,4,12,59,4,+8.4,+1.6,88,0,,,1,33.1,4,2023,07,26,39.5,8,2019,05,26,36.7,8,2021,07,28,1977,44.01833333333333,143.76,佐呂間,12時59分
17501,北海道網走・北見・紋別地方,生田原（イクタハラ）,,2023,07,28,15,00,34.5,4,14,10,4,+8.7,+2.9,88,0,,,1,33.6,4,2023,07,09,37.0,8,2019,05,26,35.9,8,2021,07,18,1977,43.91666666666666,143.53166666666667,生田原,14時10分
17521,北海道網走・北見・紋別地方,北見（キタミ）,,2023,07,28,15,00,35.2,4,13,21,4,+9.0,+1.6,88,0,,,1,35.0,4,2023,07,26,38.1,8,2019,05,26,37.2,8,2021,07,18,1976,43.77666666666666,143.84166666666667,北見,13時21分
17531,北海道網走・北見・紋別地方,女満別（メマンベツ）,,2023,07,28,15,00,34.5,4,13,54,4,+8.7,+1.4,88,0,,,1,33.7,4,2023,07,26,37.7,8,2019,05,26,36.7,8,2021,07,18,2003,43.88,144.16333333333333,女満別,13時54分
17596,北海道網走・北見・紋別地方,留辺蘂（ルベシベ）,,2023,07,28,15,00,32.9,4,13,26,4,+7.4,+2.9,88,0,,,1,32.9,4,2023,07,26,36.4,8,2019,05,26,35.6,8,2017,07,15,1978,43.74166666666667,143.45,留辺蘂,13時26分
17631,北海道網走・北見・紋別地方,美幌（ビホロ）,,2023,07,28,15,00,34.5,4,14,44,4,+9.1,+1.5,88,0,,,1,33.8,4,2023,07,26,37.4,8,2019,05,26,37.0,8,2017,07,15,1977,43.77,144.17166666666665,美幌,14時44分
17717,北海道網走・北見・紋別地方,津別（ツベツ）,,2023,07,28,15,00,34.5,4,14,55,4,+8.4,+0.7,88,0,,,1,33.8,4,2023,07,27,38.0,8,2019,05,26,37.1,8,2021,07,18,1988,43.70166666666667,144.03333333333333,津別,14時55分
18161,北海道根室地方,上標津（カミシベツ）,,2023,07,28,15,00,33.9,4,13,39,4,+10.4,+1.4,88,0,,,1,32.9,4,2023,07,25,35.2,8,2019,05,26,35.2,8,2017,07,15,2003,43.52,144.74666666666667,上標津,13時39分
18311,北海道根室地方,厚床（アットコ）,,2023,07,28,15,00,32.1,4,11,28,4,+10.6,,88,0,,,1,32.0,4,2023,07,26,34.9,8,2015,08,05,32.9,8,2022,07,31,1977,43.22166666666666,145.22666666666666,厚床,11時28分
19021,北海道釧路地方,川湯（カワユ）,,2023,07,28,15,00,32.7,4,14,08,4,+9.3,+1.1,88,0,,,1,32.5,4,2023,07,25,36.0,8,2019,05,26,35.0,8,2021,07,18,1977,43.61666666666667,144.45666666666668,川湯,14時08分
20266,北海道十勝地方,上士幌（カミシホロ）,,2023,07,28,15,00,33.7,4,12,30,4,+9.4,+2.2,88,0,,,1,33.7,4,2023,07,26,36.6,8,2010,06,26,35.9,8,2021,07,18,1977,43.24166666666667,143.295,上士幌,12時30分
20276,北海道十勝地方,足寄（アショロ）,,2023,07,28,15,00,36.0,4,14,16,4,+9.9,+2.0,88,0,,,1,35.6,4,2023,07,26,38.8,8,2019,05,26,37.5,8,2021,07,18,1977,43.24333333333333,143.55333333333334,足寄,14時16分
20341,北海道十勝地方,本別（ホンベツ）,,2023,07,28,15,00,36.0,4,14,33,4,+10.1,+1.2,88,0,,,1,35.4,4,2023,07,26,37.2,8,2019,05,26,37.1,8,2021,07,18,1976,43.13166666666667,143.6,本別,14時33分
20361,北海道十勝地方,鹿追（シカオイ）,,2023,07,28,15,00,33.9,4,14,03,4,+9.2,+2.3,88,0,,,1,33.4,4,2023,07,26,36.5,8,2019,05,26,35.1,8,2021,07,18,1978,43.10333333333333,142.995,鹿追,14時03分
20371,北海道十勝地方,駒場（コマバ）,,2023,07,28,15,00,34.7,4,14,03,4,+9.3,+1.3,88,0,,,1,34.4,4,2023,07,26,37.8,8,2014,06,03,36.3,8,2021,07,18,1977,43.05,143.18333333333334,駒場,14時03分
20421,北海道十勝地方,芽室（メムロ）,,2023,07,28,15,00,34.8,4,13,30,4,+9.3,+1.9,88,0,,,1,34.4,4,2023,07,26,38.1,8,2019,05,26,36.5,8,2021,07,18,1977,42.9,143.04333333333332,芽室,13時30分
20432,北海道十勝地方,帯広（オビヒロ）,47417,2023,07,28,15,00,35.6,4,14,28,4,+9.8,+1.4,88,0,,,1,35.5,4,2023,07,25,38.8,8,2019,05,26,37.8,8,1924,07,12,1892,42.92166666666667,143.21166666666667,帯広,14時28分
20441,北海道十勝地方,池田（イケダ）,,2023,07,28,15,00,36.2,4,14,59,4,+11.2,+1.0,88,0,,,1,36.2,4,2023,07,26,38.8,8,2019,05,26,37.4,8,2021,07,18,1977,42.92,143.45833333333334,池田,14時59分
20556,北海道十勝地方,糠内（ヌカナイ）,,2023,07,28,15,00,35.1,4,14,53,4,+9.9,+1.5,88,0,,,1,34.6,4,2023,07,26,38.4,8,2019,05,26,36.7,8,2021,07,18,1978,42.78666666666667,143.32833333333335,糠内,14時53分
21111,北海道胆振地方,厚真（アツマ）,,2023,07,28,15,00,31.7,4,13,58,4,+6.8,+0.7,88,0,,,1,31.3,4,2023,07,26,34.1,8,2021,08,06,34.1,8,2021,07,28,1977,42.73,141.88833333333332,厚真,13時58分
21126,北海道胆振地方,穂別（ホベツ）,,2023,07,28,15,00,31.5,4,13,10,4,+5.7,+0.3,88,0,,,1,31.4,4,2023,07,08,34.3,8,2007,08,13,34.0,8,2021,07,19,1977,42.76166666666667,142.14333333333337,穂別,13時10分
21171,北海道胆振地方,森野（モリノ）,,2023,07,28,15,00,32.3,4,13,45,4,+8.8,+0.3,88,0,,,1,32.0,4,2023,07,27,33.1,8,2021,07,27,33.1,8,2021,07,27,1977,42.63,141.24666666666667,森野,13時45分
21226,北海道胆振地方,大岸（オオキシ）,,2023,07,28,15,00,31.4,4,13,46,4,+7.2,+0.5,88,0,,,1,30.9,4,2023,07,27,33.6,8,2021,07,20,33.6,8,2021,07,20,1977,42.59,140.64333333333337,大岸,13時46分
21276,北海道胆振地方,鵡川（ムカワ）,,2023,07,28,15,00,30.3,4,13,53,4,+6.4,+1.0,88,0,,,1,29.3,4,2023,07,27,33.5,8,1994,08,10,32.5,8,2021,07,27,1978,42.59,141.93333333333334,鵡川,13時53分
21297,北海道胆振地方,伊達（ダテ）,,2023,07,28,15,00,31.1,4,13,30,4,+5.8,+1.0,88,0,7,0,1,30.1,4,2023,07,27,32.6,8,2012,09,18,31.1,8,2021,07,28,2007,42.475,140.84833333333333,伊達,13時30分
21312,北海道胆振地方,登別（ノボリベツ）,,2023,07,28,15,00,31.3,4,14,14,4,+8.1,+0.1,88,0,,,1,31.2,4,2023,07,27,32.4,8,2021,07,20,32.4,8,2021,07,20,1977,42.458333333333336,141.11833333333334,登別,14時14分
21323,北海道胆振地方,室蘭（ムロラン）,47423,2023,07,28,15,00,30.8,4,13,35,4,+7.7,+0.7,88,0,,,1,30.2,4,2023,07,26,32.8,8,1929,08,08,32.5,8,1924,07,17,1923,42.31166666666667,140.975,室蘭,13時35分
22141,北海道日高地方,日高門別（ヒダカモンベツ）,,2023,07,28,15,00,29.9,4,13,46,4,+6.3,+0.2,88,0,,,1,29.7,4,2023,07,27,32.2,8,2021,07,27,32.2,8,2021,07,27,1976,42.49666666666667,142.05333333333334,日高門別,13時46分
22156,北海道日高地方,新和（シンワ）,,2023,07,28,15,00,32.2,4,14,48,4,+6.0,+0.1,88,0,,,1,32.1,4,2023,07,27,36.0,8,2007,08,13,35.0,8,2021,07,27,1977,42.54333333333334,142.33333333333334,新和,14時48分
22241,北海道日高地方,静内（シズナイ）,,2023,07,28,15,00,30.1,4,10,14,4,+6.5,+0.4,88,0,,,1,29.9,4,2023,07,26,31.7,8,2021,07,28,31.7,8,2021,07,28,1977,42.34333333333333,142.36166666666668,静内,10時14分
22291,北海道日高地方,三石（ミツイシ）,,2023,07,28,15,00,30.0,4,10,45,4,+6.1,+0.4,88,0,,,1,29.8,4,2023,07,26,32.1,8,2021,07,28,32.1,8,2021,07,28,1977,42.245,142.66166666666666,三石,10時45分
22306,北海道日高地方,中杵臼（ナカキネウス）,,2023,07,28,15,00,31.8,4,12,00,4,+6.4,0.0,88,0,,,1,31.8,4,2023,07,27,33.1,8,2021,08,04,32.8,8,2021,07,20,1978,42.223333333333336,142.94833333333332,中杵臼,12時00分
23166,北海道渡島地方,森（モリ）,,2023,07,28,15,00,30.8,4,14,12,4,+5.5,+0.4,88,0,,,1,30.4,4,2023,07,27,33.1,8,2021,08,05,32.3,8,2021,07,27,2002,42.06666666666667,140.58833333333334,森,14時12分
24041,北海道檜山地方,せたな（セタナ）,,2023,07,28,15,00,29.1,4,10,26,4,+4.5,0.0,88,0,,,1,29.1,4,2023,07,27,32.8,8,1999,08,04,31.6,8,2000,07,31,1977,42.45,139.85166666666666,せたな,10時26分
24051,北海道檜山地方,今金（イマカネ）,,2023,07,28,15,00,30.4,4,13,40,4,+5.2,0.0,88,0,,,1,30.4,4,2023,07,27,34.8,8,2006,08,09,33.8,8,2021,07,27,1977,42.428333333333335,140.00833333333333,今金,13時40分
24156,北海道檜山地方,米岡（ヨネオカ）,,2023,07,28,15,00,27.5,4,12,10,4,+3.5,+0.2,88,0,,,1,27.3,4,2023,07,27,32.5,8,2021,08,07,31.1,8,2021,07,27,2003,42.071666666666665,139.43166666666667,米岡,12時10分
31121,青森県,小田野沢（オダノサワ）,,2023,07,28,15,00,33.0,4,13,44,4,+8.9,+0.9,88,0,,,1,32.9,4,2023,07,24,34.2,8,2010,08,06,33.5,8,2021,07,20,1976,41.235,141.39666666666668,小田野沢,13時44分
33226,岩手県,岩手松尾（イワテマツオ）,,2023,07,28,15,00,33.9,4,13,22,4,+5.8,+1.8,88,0,,,1,33.3,4,2023,07,25,35.5,8,2015,08,05,35.2,8,2012,07,30,1976,39.95166666666667,141.065,岩手松尾,13時22分
34171,宮城県,米山（ヨネヤマ）,,2023,07,28,15,00,36.4,4,13,50,4,+7.8,+1.9,88,0,13,0,1,35.8,4,2023,07,25,36.3,8,2015,08,06,35.8,8,2023,07,25,1976,38.626666666666665,141.18833333333333,米山,13時50分
35002,山形県,飛島（トビシマ）,,2023,07,28,15,00,31.7,4,12,28,4,+3.5,0.0,88,0,,,1,31.7,4,2023,07,27,35.1,8,2021,08,04,34.0,8,2015,07,13,1978,39.18333333333333,139.54333333333332,飛島,12時28分
